ID,PersonID,working distance,Choice situation,drv_time,drv_cost,park_cost,pt_time,pt_cost,pt_wait,rhs_time,rhs_cost,rhs_wait,bs_time,bs_cost,bs_walk,walk_time,bic_time,bicpt_bic_time,bicpt_time,bicpt_cost,bicpt_wait,drpt_drv_time,drpt_drv_cost,drpt_park_cost,drpt_time,drpt_cost,drpt_wait,rhspt_time,rhspt_cost,rhspt_wait,rhspt_rhs_time,rhspt_rhs_cost,rhspt_rhs_wait,bspt_time,bspt_cost,bspt_wait,bspt_bs_time,bspt_bs_cost,bspt_bs_walk,ptrs_time,ptrs_cost,ptrs_wait,ptrs_rhs_time,ptrs_rhs_cost,ptrs_rhs_wait,ptbs_time,ptbs_cost,ptbs_wait,ptbs_bs_time,ptbs_bs_cost,ptbs_bs_walk,bpr_time,bpr_cost,bpr_wait,bpr_rhs_time,bpr_rhs_cost,bpr_rhs_wait,bpr_bic_time,dpr_time,dpr_cost,dpr_wait,dpr_rhs_time,dpr_rhs_cost,dpr_rhs_wait,dpr_drv_time,dpr_drv_cost,dpr_park_cost,bspr_time,bspr_cost,bspr_wait,bspr_rhs_time,bspr_rhs_cost,bspr_rhs_wait,bspr_bs_time,bspr_bs_cost,bspr_bs_walk,rpr_time,rpr_cost,rpr_wait,rpr_rhs_time,rpr_rhs_cost,rpr_rhs_wait,rpr_rhs2_time,rpr_rhs2_cost,rpr_rhs2_wait,bpbs_time,bpbs_cost,bpbs_wait,bpbs_bs_time,bpbs_bs_cost,bpbs_bs_walk,bpbs_bic_time,dpbs_time,dpbs_cost,dpbs_wait,dpbs_bs_time,dpbs_bs_cost,dpbs_bs_walk,dpbs_drv_time,dpbs_drv_cost,dpbs_drv_park,rpbs_time,rpbs_cost,rpbs_wait,rpbs_bs_time,rpbs_bs_cost,rpbs_bs_walk,rpbs_rhs_time,rpbs_rhs_cost,rpbs_rhs_wait,bspbs_time,bspbs_cost,bspbs_wait,bspbs_bs1_time,bspbs_bs1_cost,bspbs_bs1_walk,bspbs_bs2_time,bspbs_bs2_cost,bspbs_bs2_walk,Block,SP distance (km),scenario,av_Bic_PT,av_Drv_PT,av_RHS_PT,av_BS_PT,av_PT_RHS,av_PT_BS,av_Bic_PT_RHS,av_Drv_PT_RHS,av_BS_PT_RHS,av_RHS_PT_RHS,av_Bic_PT_BS,av_Drv_PT_BS,av_RHS_PT_BS,av_BS_PT_BS,av_Drv_PT.1,av_Drv_PT_BS.1,index,rounds,experiment,av_Bic,av_PT,av_RHS,av_BS,av_Drv,av_Walk,choice,leisure,shopping,working,distance
13411,1239401,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,5.4,3.3,10,1.04,0.216,15,6.3,3.3,15,6.3,3.3,15,1.1752,11.394,5,5.4,3.3,15,2.4,3.25,5,6.3,3.3,15,1.1752,9.495,5,5.4,3.3,15,2.4,3.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,5,1,0,0,3
13412,1239401,25,6,6.8,0.54,5,4.05,3.3,5,5.876,15.57,5,9,3.25,5,36,9,2.4,5.4,3.3,10,1.04,0.216,15,6.3,3.3,15,6.3,3.3,15,1.1752,11.394,5,5.4,3.3,15,2.4,3.25,5,6.3,3.3,15,1.1752,9.495,5,5.4,3.3,15,2.4,3.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,1,0,1,1,8,1,0,0,3
13413,1239401,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,6.3,3.3,10,1.36,0.108,5,6.3,3.3,10,6.3,3.3,15,1.1752,11.394,5,5.4,3.3,10,2.4,3.25,8,5.4,3.3,10,0.904,11.394,2,3.24,3.3,10,1.8,3.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,2,3,0,0,0,0,0,0,3,1,0,0,3
13414,1239401,25,7,4,1.62,5,7.875,3.3,5,5.876,15.57,5,9,3.25,2,45,12,2.4,6.3,3.3,10,1.36,0.108,5,6.3,3.3,10,6.3,3.3,15,1.1752,11.394,5,5.4,3.3,10,2.4,3.25,8,5.4,3.3,10,0.904,11.394,2,3.24,3.3,10,1.8,3.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,3,0,1,1,0,1,1,6,1,0,0,3
13415,1239401,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,6.3,3.3,5,1.04,0.324,10,6.3,3.3,15,5.4,3.3,10,1.1752,9.495,8,3.24,3.3,5,3,3.25,2,6.3,3.3,15,1.1752,11.394,5,5.4,3.3,15,2.4,3.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,2,4,0,0,0,0,0,0,3,1,0,0,3
13416,1239401,25,12,6.8,1.62,5,6.75,3.3,10,5.876,15.57,5,12,3.25,5,45,9,1.8,6.3,3.3,5,1.04,0.324,10,6.3,3.3,15,5.4,3.3,10,1.1752,9.495,8,3.24,3.3,5,3,3.25,2,6.3,3.3,15,1.1752,11.394,5,5.4,3.3,15,2.4,3.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,4,0,1,1,0,1,1,6,1,0,0,3
13417,1239401,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,3.3,5,4.098133,8.756,2,4.8,10.8,3.3,10,3.133867,10.945,5,2.133333,0.288,10,6.48,3.3,5,2.410667,8.756,8,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,2,2.410667,8.756,8,6.48,3.3,5,4.8,3.25,8,8,10.8,3.3,10,6.4,3.25,5,2.133333,0.288,10,6.48,3.3,5,4.8,3.25,2,4.098133,8.756,2,6.48,3.3,15,4.8,3.25,5,8,3.25,2,2,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,9,0,1,0,8
13418,1239401,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,16.8,3.3,15,3.626667,0.288,10,14.4,3.3,10,14.4,3.3,10,3.133867,10.945,8,8.64,3.3,15,8,3.25,2,8.64,3.3,5,4.098133,8.756,8,8.64,3.3,10,4.8,3.25,8,12.6,3.3,5,4.098133,8.756,2,4.8,10.8,3.3,10,3.133867,10.945,5,2.133333,0.288,10,6.48,3.3,5,2.410667,8.756,8,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,2,2.410667,8.756,8,6.48,3.3,5,4.8,3.25,8,8,10.8,3.3,10,6.4,3.25,5,2.133333,0.288,10,6.48,3.3,5,4.8,3.25,2,4.098133,8.756,2,6.48,3.3,15,4.8,3.25,5,8,3.25,2,2,8,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,5,0,1,0,8
13419,1239401,25,1,10.66667,1.44,15,21,3.3,10,12.05333,20.225,2,40,3.25,2,96,40,6.4,16.8,3.3,15,3.626667,0.288,10,14.4,3.3,10,14.4,3.3,10,3.133867,10.945,8,8.64,3.3,15,8,3.25,2,8.64,3.3,5,4.098133,8.756,8,8.64,3.3,10,4.8,3.25,8,12.6,3.3,5,4.098133,8.756,2,4.8,10.8,3.3,10,3.133867,10.945,5,2.133333,0.288,10,6.48,3.3,5,2.410667,8.756,8,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,2,2.410667,8.756,8,6.48,3.3,5,4.8,3.25,8,8,10.8,3.3,10,6.4,3.25,5,2.133333,0.288,10,6.48,3.3,5,4.8,3.25,2,4.098133,8.756,2,6.48,3.3,15,4.8,3.25,5,8,3.25,2,2,8,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,1,0,6,0,1,0,8
13420,1239401,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,3.3,15,3.133867,13.134,5,8,12.6,3.3,15,4.098133,13.134,8,3.626667,0.576,15,12.6,3.3,15,4.098133,13.134,5,8,3.25,8,10.8,3.3,15,2.410667,13.134,8,3.133867,13.134,5,10.8,3.3,10,6.4,3.25,8,4.8,12.6,3.3,15,8,3.25,8,3.626667,0.576,15,12.6,3.3,15,8,3.25,8,3.133867,13.134,5,10.8,3.3,10,8,3.25,8,6.4,3.25,5,2,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,3,2,0,0,0,0,0,0,9,0,1,0,8
13421,1239401,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8.64,3.3,10,2.773333,0.576,15,16.8,3.3,15,16.8,3.3,15,4.098133,10.945,5,14.4,3.3,10,6.4,3.25,5,16.8,3.3,15,3.133867,10.945,5,8.64,3.3,5,4.8,3.25,2,12.6,3.3,15,3.133867,13.134,5,8,12.6,3.3,15,4.098133,13.134,8,3.626667,0.576,15,12.6,3.3,15,4.098133,13.134,5,8,3.25,8,10.8,3.3,15,2.410667,13.134,8,3.133867,13.134,5,10.8,3.3,10,6.4,3.25,8,4.8,12.6,3.3,15,8,3.25,8,3.626667,0.576,15,12.6,3.3,15,8,3.25,8,3.133867,13.134,5,10.8,3.3,10,8,3.25,8,6.4,3.25,5,2,8,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,2,2,0,0,0,0,0,0,5,0,1,0,8
13422,1239401,25,2,10.66667,4.32,5,10.8,3.3,5,15.66933,24.27,5,32,3.25,5,144,24,4.8,8.64,3.3,10,2.773333,0.576,15,16.8,3.3,15,16.8,3.3,15,4.098133,10.945,5,14.4,3.3,10,6.4,3.25,5,16.8,3.3,15,3.133867,10.945,5,8.64,3.3,5,4.8,3.25,2,12.6,3.3,15,3.133867,13.134,5,8,12.6,3.3,15,4.098133,13.134,8,3.626667,0.576,15,12.6,3.3,15,4.098133,13.134,5,8,3.25,8,10.8,3.3,15,2.410667,13.134,8,3.133867,13.134,5,10.8,3.3,10,6.4,3.25,8,4.8,12.6,3.3,15,8,3.25,8,3.626667,0.576,15,12.6,3.3,15,8,3.25,8,3.133867,13.134,5,10.8,3.3,10,8,3.25,8,6.4,3.25,5,2,8,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,1,1,0,1,0,2,0,1,0,8
13423,1239401,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,3.3,15,4.098133,10.945,5,8,10.8,3.3,10,3.133867,10.945,5,2.773333,0.864,10,12.6,3.3,15,3.133867,13.134,5,8,3.25,8,12.6,3.3,15,4.098133,10.945,2,3.133867,10.945,5,10.8,3.3,10,6.4,3.25,8,4.8,12.6,3.3,15,8,3.25,8,2.773333,0.576,15,12.6,3.3,15,8,3.25,8,3.133867,13.134,5,10.8,3.3,10,6.4,3.25,5,6.4,3.25,5,2,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,7,3,3,0,0,0,0,0,0,4,0,1,0,8
13424,1239401,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8.64,3.3,5,2.773333,0.576,15,16.8,3.3,15,16.8,3.3,15,3.133867,13.134,5,14.4,3.3,10,6.4,3.25,5,14.4,3.3,10,4.098133,8.756,8,8.64,3.3,10,8,3.25,2,10.8,3.3,15,4.098133,10.945,5,8,10.8,3.3,10,3.133867,10.945,5,2.773333,0.864,10,12.6,3.3,15,3.133867,13.134,5,8,3.25,8,12.6,3.3,15,4.098133,10.945,2,3.133867,10.945,5,10.8,3.3,10,6.4,3.25,8,4.8,12.6,3.3,15,8,3.25,8,2.773333,0.576,15,12.6,3.3,15,8,3.25,8,3.133867,13.134,5,10.8,3.3,10,6.4,3.25,5,6.4,3.25,5,2,8,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,8,2,3,0,0,0,0,0,0,5,0,1,0,8
13425,1239401,25,8,18.13333,1.44,5,10.8,3.3,5,15.66933,24.27,5,32,3.25,5,144,24,8,8.64,3.3,5,2.773333,0.576,15,16.8,3.3,15,16.8,3.3,15,3.133867,13.134,5,14.4,3.3,10,6.4,3.25,5,14.4,3.3,10,4.098133,8.756,8,8.64,3.3,10,8,3.25,2,10.8,3.3,15,4.098133,10.945,5,8,10.8,3.3,10,3.133867,10.945,5,2.773333,0.864,10,12.6,3.3,15,3.133867,13.134,5,8,3.25,8,12.6,3.3,15,4.098133,10.945,2,3.133867,10.945,5,10.8,3.3,10,6.4,3.25,8,4.8,12.6,3.3,15,8,3.25,8,2.773333,0.576,15,12.6,3.3,15,8,3.25,8,3.133867,13.134,5,10.8,3.3,10,6.4,3.25,5,6.4,3.25,5,2,8,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,3,0,1,1,0,1,0,2,0,1,0,8
13426,1239401,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.48,3.3,5,4.098133,8.756,8,4.8,6.48,3.3,5,2.410667,8.756,2,2.133333,0.288,10,6.48,3.3,5,4.098133,8.756,2,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,5,2.410667,13.134,2,12.6,3.3,5,8,3.25,2,8,6.48,3.3,5,4.8,3.25,2,2.133333,0.288,10,6.48,3.3,5,8,3.25,2,4.098133,8.756,2,12.6,3.3,15,6.4,3.25,8,4.8,3.25,8,2,8,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10,3,4,0,0,0,0,0,0,4,0,1,0,8
13427,1239401,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16.8,3.3,15,2.133333,0.288,15,8.64,3.3,5,14.4,3.3,10,2.410667,13.134,2,14.4,3.3,15,8,3.25,8,8.64,3.3,5,2.410667,13.134,2,16.8,3.3,15,6.4,3.25,8,6.48,3.3,5,4.098133,8.756,8,4.8,6.48,3.3,5,2.410667,8.756,2,2.133333,0.288,10,6.48,3.3,5,4.098133,8.756,2,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,5,2.410667,13.134,2,12.6,3.3,5,8,3.25,2,8,6.48,3.3,5,4.8,3.25,2,2.133333,0.288,10,6.48,3.3,5,8,3.25,2,4.098133,8.756,2,12.6,3.3,15,6.4,3.25,8,4.8,3.25,8,2,8,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,11,2,4,0,0,0,0,0,0,3,0,1,0,8
13428,1239401,25,10,10.66667,1.44,15,21,3.3,15,20.49067,16.18,2,40,3.25,8,96,40,8,16.8,3.3,15,2.133333,0.288,15,8.64,3.3,5,14.4,3.3,10,2.410667,13.134,2,14.4,3.3,15,8,3.25,8,8.64,3.3,5,2.410667,13.134,2,16.8,3.3,15,6.4,3.25,8,6.48,3.3,5,4.098133,8.756,8,4.8,6.48,3.3,5,2.410667,8.756,2,2.133333,0.288,10,6.48,3.3,5,4.098133,8.756,2,4.8,3.25,2,6.48,3.3,5,3.133867,8.756,5,2.410667,13.134,2,12.6,3.3,5,8,3.25,2,8,6.48,3.3,5,4.8,3.25,2,2.133333,0.288,10,6.48,3.3,5,8,3.25,2,4.098133,8.756,2,12.6,3.3,15,6.4,3.25,8,4.8,3.25,8,2,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,4,0,1,1,0,1,0,6,0,1,0,8
13429,1239401,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,3.3,10,9.793333333,15.875,8,20,33.75,3.3,10,9.793333333,15.875,5,6.666666667,2.7,10,33.75,3.3,10,9.793333333,15.875,2,20,3.25,5,39.375,3.3,5,9.793333333,19.05,8,12.80666667,12.7,2,33.75,3.3,15,20,3.25,5,20,33.75,3.3,10,20,3.25,5,11.33333333,2.7,5,33.75,3.3,10,20,3.25,5,7.533333333,15.875,5,20.25,3.3,5,20,3.25,5,15,3.25,8,2,25,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,4,0,0,1,25
13430,1239401,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,3.3,10,8.666666667,1.8,15,52.5,3.3,15,45,3.3,10,12.80666667,12.7,2,45,3.3,10,20,3.25,2,45,3.3,10,9.793333333,15.875,8,27,3.3,5,15,3.25,8,33.75,3.3,10,9.793333333,15.875,8,20,33.75,3.3,10,9.793333333,15.875,5,6.666666667,2.7,10,33.75,3.3,10,9.793333333,15.875,2,20,3.25,5,39.375,3.3,5,9.793333333,19.05,8,12.80666667,12.7,2,33.75,3.3,15,20,3.25,5,20,33.75,3.3,10,20,3.25,5,11.33333333,2.7,5,33.75,3.3,10,20,3.25,5,7.533333333,15.875,5,20.25,3.3,5,20,3.25,5,15,3.25,8,2,25,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,7,0,0,1,25
13431,1239401,25,5,56.66666667,4.5,5,56.25,3.3,5,37.66666667,44.875,2,75,3.25,8,375,100,15,45,3.3,10,8.666666667,1.8,15,52.5,3.3,15,45,3.3,10,12.80666667,12.7,2,45,3.3,10,20,3.25,2,45,3.3,10,9.793333333,15.875,8,27,3.3,5,15,3.25,8,33.75,3.3,10,9.793333333,15.875,8,20,33.75,3.3,10,9.793333333,15.875,5,6.666666667,2.7,10,33.75,3.3,10,9.793333333,15.875,2,20,3.25,5,39.375,3.3,5,9.793333333,19.05,8,12.80666667,12.7,2,33.75,3.3,15,20,3.25,5,20,33.75,3.3,10,20,3.25,5,11.33333333,2.7,5,33.75,3.3,10,20,3.25,5,7.533333333,15.875,5,20.25,3.3,5,20,3.25,5,15,3.25,8,2,25,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,1,0,2,0,0,1,25
13432,1239401,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.25,3.3,5,12.80666667,12.7,8,25,20.25,3.3,5,12.80666667,12.7,2,11.33333333,0.9,5,20.25,3.3,5,12.80666667,12.7,8,15,3.25,2,20.25,3.3,5,7.533333333,19.05,2,7.533333333,19.05,2,39.375,3.3,10,25,3.25,8,25,20.25,3.3,5,15,3.25,2,6.666666667,0.9,10,20.25,3.3,5,15,3.25,2,7.533333333,19.05,2,39.375,3.3,15,15,3.25,2,20,3.25,8,2,25,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,3,2,0,0,0,0,0,0,4,0,0,1,25
13433,1239401,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,52.5,3.3,15,6.666666667,0.9,15,27,3.3,5,27,3.3,5,7.533333333,19.05,2,52.5,3.3,15,25,3.25,5,27,3.3,5,7.533333333,19.05,2,52.5,3.3,15,25,3.25,8,20.25,3.3,5,12.80666667,12.7,8,25,20.25,3.3,5,12.80666667,12.7,2,11.33333333,0.9,5,20.25,3.3,5,12.80666667,12.7,8,15,3.25,2,20.25,3.3,5,7.533333333,19.05,2,7.533333333,19.05,2,39.375,3.3,10,25,3.25,8,25,20.25,3.3,5,15,3.25,2,6.666666667,0.9,10,20.25,3.3,5,15,3.25,2,7.533333333,19.05,2,39.375,3.3,15,15,3.25,2,20,3.25,8,2,25,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,5,2,2,0,0,0,0,0,0,3,0,0,1,25
13434,1239401,25,6,43.33333333,13.5,15,65.625,3.3,15,37.66666667,35.9,8,125,3.25,8,300,125,25,52.5,3.3,15,6.666666667,0.9,15,27,3.3,5,27,3.3,5,7.533333333,19.05,2,52.5,3.3,15,25,3.25,5,27,3.3,5,7.533333333,19.05,2,52.5,3.3,15,25,3.25,8,20.25,3.3,5,12.80666667,12.7,8,25,20.25,3.3,5,12.80666667,12.7,2,11.33333333,0.9,5,20.25,3.3,5,12.80666667,12.7,8,15,3.25,2,20.25,3.3,5,7.533333333,19.05,2,7.533333333,19.05,2,39.375,3.3,10,25,3.25,8,25,20.25,3.3,5,15,3.25,2,6.666666667,0.9,10,20.25,3.3,5,15,3.25,2,7.533333333,19.05,2,39.375,3.3,15,15,3.25,2,20,3.25,8,2,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,2,0,1,1,0,1,0,3,0,0,1,25
13435,1239401,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.375,3.3,5,12.80666667,12.7,2,15,20.25,3.3,5,7.533333333,12.7,2,6.666666667,2.7,5,20.25,3.3,5,7.533333333,12.7,8,15,3.25,2,39.375,3.3,10,7.533333333,19.05,2,7.533333333,15.875,8,20.25,3.3,15,15,3.25,2,25,33.75,3.3,10,20,3.25,5,6.666666667,0.9,10,20.25,3.3,5,15,3.25,2,12.80666667,12.7,2,39.375,3.3,10,25,3.25,5,25,3.25,5,2,25,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,7,3,3,0,0,0,0,0,0,4,0,0,1,25
13436,1239401,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,52.5,3.3,5,6.666666667,2.7,5,45,3.3,5,27,3.3,10,12.80666667,12.7,2,27,3.3,15,15,3.25,8,27,3.3,5,7.533333333,12.7,8,27,3.3,15,25,3.25,2,39.375,3.3,5,12.80666667,12.7,2,15,20.25,3.3,5,7.533333333,12.7,2,6.666666667,2.7,5,20.25,3.3,5,7.533333333,12.7,8,15,3.25,2,39.375,3.3,10,7.533333333,19.05,2,7.533333333,15.875,8,20.25,3.3,15,15,3.25,2,25,33.75,3.3,10,20,3.25,5,6.666666667,0.9,10,20.25,3.3,5,15,3.25,2,12.80666667,12.7,2,39.375,3.3,10,25,3.25,5,25,3.25,5,2,25,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,8,2,3,0,0,0,0,0,0,3,0,0,1,25
13437,1239401,25,8,33.33333333,4.5,15,56.25,3.3,15,37.66666667,44.875,2,100,3.25,8,300,125,25,52.5,3.3,5,6.666666667,2.7,5,45,3.3,5,27,3.3,10,12.80666667,12.7,2,27,3.3,15,15,3.25,8,27,3.3,5,7.533333333,12.7,8,27,3.3,15,25,3.25,2,39.375,3.3,5,12.80666667,12.7,2,15,20.25,3.3,5,7.533333333,12.7,2,6.666666667,2.7,5,20.25,3.3,5,7.533333333,12.7,8,15,3.25,2,39.375,3.3,10,7.533333333,19.05,2,7.533333333,15.875,8,20.25,3.3,15,15,3.25,2,25,33.75,3.3,10,20,3.25,5,6.666666667,0.9,10,20.25,3.3,5,15,3.25,2,12.80666667,12.7,2,39.375,3.3,10,25,3.25,5,25,3.25,5,2,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,3,0,1,1,0,1,0,6,0,0,1,25
13438,1239401,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.25,3.3,10,7.533333333,12.7,8,20,33.75,3.3,10,7.533333333,15.875,5,6.666666667,0.9,10,33.75,3.3,10,7.533333333,15.875,2,20,3.25,5,33.75,3.3,10,9.793333333,19.05,8,7.533333333,15.875,8,39.375,3.3,5,25,3.25,2,20,20.25,3.3,5,15,3.25,2,11.33333333,0.9,5,33.75,3.3,10,20,3.25,5,7.533333333,15.875,2,39.375,3.3,10,20,3.25,2,20,3.25,8,2,25,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10,3,4,0,0,0,0,0,0,4,0,0,1,25
13439,1239401,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,3.3,15,11.33333333,0.9,5,45,3.3,5,27,3.3,5,7.533333333,12.7,8,27,3.3,5,25,3.25,8,45,3.3,10,9.793333333,15.875,8,52.5,3.3,10,15,3.25,2,20.25,3.3,10,7.533333333,12.7,8,20,33.75,3.3,10,7.533333333,15.875,5,6.666666667,0.9,10,33.75,3.3,10,7.533333333,15.875,2,20,3.25,5,33.75,3.3,10,9.793333333,19.05,8,7.533333333,15.875,8,39.375,3.3,5,25,3.25,2,20,20.25,3.3,5,15,3.25,2,11.33333333,0.9,5,33.75,3.3,10,20,3.25,5,7.533333333,15.875,2,39.375,3.3,10,20,3.25,2,20,3.25,8,2,25,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,11,2,4,0,0,0,0,0,0,3,0,0,1,25
13440,1239401,25,12,56.66666667,13.5,10,65.625,3.3,10,37.66666667,35.9,2,125,3.25,5,375,100,20,45,3.3,15,11.33333333,0.9,5,45,3.3,5,27,3.3,5,7.533333333,12.7,8,27,3.3,5,25,3.25,8,45,3.3,10,9.793333333,15.875,8,52.5,3.3,10,15,3.25,2,20.25,3.3,10,7.533333333,12.7,8,20,33.75,3.3,10,7.533333333,15.875,5,6.666666667,0.9,10,33.75,3.3,10,7.533333333,15.875,2,20,3.25,5,33.75,3.3,10,9.793333333,19.05,8,7.533333333,15.875,8,39.375,3.3,5,25,3.25,2,20,20.25,3.3,5,15,3.25,2,11.33333333,0.9,5,33.75,3.3,10,20,3.25,5,7.533333333,15.875,2,39.375,3.3,10,20,3.25,2,20,3.25,8,2,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,4,0,1,1,0,1,0,3,0,0,1,25
